Магазин;ГУИДМагазина;СкидкаНаценка;Номенклатура;ГУИДНоменклатуры;ХарактеристикаНоменклатуры;ГУИДХарактеристикиНоменклатуры;ЗначениеСкидкиНаценки;ДатаОкончания;ДатаНачала;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Новая цена;Салфетки влажные Huggies Ultra Comfort с Алоэ Вера и витамином Е Huggies 64шт;56996f2c-6763-11e0-abcb-0015171f7e18;;;3,79;31.03.17;01.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Бюстгальтер Key;ff9acbc6-9aad-11e6-9726-005056977cd8;70АА, 68-72, 12+;ff9acbc8-9aad-11e6-9726-005056977cd8;30;05.03.17;25.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Пододеяльник "Люкс" Баю-Бай 147х112;18304692-eccb-11e4-b78e-005056977ec5;;;20;28.02.17;01.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Коляска Verona Classic Alu (черно-серая) 2 в 1 Nana;82f30657-86ee-11e6-9724-005056977ec5;;;15;12.03.17;08.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Новая цена;Трусики-подгузники Mega 5 Girl (13-17кг) Huggies (48шт);20404696-689c-11e3-86c8-005056977cd8;;;27,99;31.03.17;20.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Coccodrillo;abaefb30-d8a0-11e6-8162-005056977cd8;р.92, 52, 1-3;d4700fec-d8c9-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Брюки Coccodrillo;593afc05-dbd2-11e6-8162-005056977cd8;р.68, 44, 0-1;593afc08-dbd2-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Брюки Lemon;08535bda-8094-11e6-ae57-005056977cd8;р.158, 80, 63, серый, 12+;08535be0-8094-11e6-ae57-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Шорты Coccodrillo;8b0007f6-d959-11e6-826a-0050569740d4;р.134, 64, 7-12;8b0007fd-d959-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Джемпер (кор.рукав) Coccodrillo;e568dbb1-cfde-11e5-a62a-005056977cd8;р.128, 64, 7-12;e568dbb4-cfde-11e5-a62a-005056977cd8;20;12.03.17;07.03.17;
